Run on (160 X 4023 MHz CPU s)
2018-07-13 07:51:14
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:28/H:28/C:512/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:14/H:14/C:256/N:2/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:28/H:28/C:512/N:2/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:14/H:14/C:1024/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:14/H:14/C:256/N:2/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:14/H:14/C:1024/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:7/H:7/C:512/N:2/K:2048/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:14/H:14/C:1024/N:2/K:2048/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT8/W:7/H:7/C:2048/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to cudnnDropoutGetStatesSize"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:2048/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:64/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:128/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:2/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:512/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:2048/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:700/H:161/C:1/N:1/K:64/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:350/H:80/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:350/H:80/C:64/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:175/H:40/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:175/H:40/C:128/N:1/K:256/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:84/H:20/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:84/H:20/C:256/N:1/K:512/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:42/H:10/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:700/H:161/C:1/N:2/K:64/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:350/H:80/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:350/H:80/C:64/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:175/H:40/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:175/H:40/C:128/N:2/K:256/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:84/H:20/C:256/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:84/H:20/C:256/N:2/K:512/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:42/H:10/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:112/H:112/C:64/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:256/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:56/H:56/C:256/N:1/K:128/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:512/N:1/K:128/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:512/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:28/H:28/C:512/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:1024/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:14/H:14/C:1024/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
"LAYER_CUDNN_DROPOUT_BWD_INT32/W:7/H:7/C:512/N:1/K:2048/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",,,,,,,,true,"CUDNN/DROPOUT_BWD failed to perform cudnnDropoutBackward"
